journal_id,trade_id,journal_text,emotion_label,sentiment_score,behavioral_tag,confidence_score,created_at
1,1,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.83,2025-11-12T13:04:51+00:00
2,2,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.84,2025-11-12T17:17:22+00:00
3,3,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.81,2025-11-13T08:44:42+00:00
4,4,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.8,2025-11-13T02:26:01+00:00
5,5,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.84,2025-11-13T23:21:30+00:00
6,6,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.73,2025-11-14T06:12:40+00:00
7,7,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.74,2025-11-14T05:05:27+00:00
8,8,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.8,2025-11-15T13:53:17+00:00
9,9,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.89,2025-11-14T15:30:58+00:00
10,10,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.77,2025-11-13T19:58:46+00:00
11,11,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.74,2025-11-14T22:08:22+00:00
12,12,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.71,2025-11-16T21:45:35+00:00
13,13,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.72,2025-11-17T19:26:31+00:00
14,14,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.62,2025-11-16T14:10:19+00:00
15,15,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.9,2025-11-14T20:36:02+00:00
16,16,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.91,2025-11-18T07:14:16+00:00
17,17,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.74,2025-11-19T00:55:46+00:00
18,18,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.78,2025-11-16T14:22:47+00:00
19,19,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.62,2025-11-16T02:20:40+00:00
20,20,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.93,2025-11-17T14:18:03+00:00
21,21,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.94,2025-11-16T03:06:28+00:00
22,22,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.78,2025-11-19T13:38:04+00:00
23,23,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.62,2025-11-16T10:52:37+00:00
24,24,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.77,2025-11-20T01:23:09+00:00
25,25,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.72,2025-11-18T08:03:17+00:00
26,26,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.7,2025-11-20T07:21:40+00:00
27,27,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.62,2025-11-16T21:00:40+00:00
28,28,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.75,2025-11-20T14:41:37+00:00
29,29,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.76,2025-11-17T02:46:01+00:00
30,30,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.81,2025-11-23T10:33:45+00:00
31,31,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.75,2025-11-22T08:07:52+00:00
32,32,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.68,2025-11-18T06:17:03+00:00
33,33,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.87,2025-11-21T06:05:42+00:00
34,34,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.75,2025-11-19T01:53:53+00:00
35,35,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.75,2025-11-19T05:59:26+00:00
36,36,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.71,2025-11-22T16:33:23+00:00
37,37,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.76,2025-11-25T05:45:08+00:00
38,38,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.7,2025-11-17T07:07:16+00:00
39,39,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.88,2025-11-20T02:36:52+00:00
40,40,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.93,2025-11-18T08:35:27+00:00
41,41,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.89,2025-11-26T23:56:47+00:00
42,42,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.85,2025-11-26T02:19:47+00:00
43,43,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.72,2025-11-21T03:58:52+00:00
44,44,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.87,2025-11-23T04:38:42+00:00
45,45,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.89,2025-11-21T12:58:52+00:00
46,46,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.76,2025-11-26T20:25:15+00:00
47,47,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.91,2025-11-25T05:54:15+00:00
48,48,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.68,2025-11-23T18:32:12+00:00
49,49,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.72,2025-11-19T23:03:34+00:00
50,50,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.84,2025-11-29T17:38:57+00:00
51,51,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.83,2025-11-20T22:49:37+00:00
52,52,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.71,2025-11-21T07:21:42+00:00
53,53,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.83,2025-11-25T03:42:08+00:00
54,54,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.68,2025-11-29T01:02:15+00:00
55,55,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.63,2025-11-21T22:12:29+00:00
56,56,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.64,2025-11-26T20:08:04+00:00
57,57,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.8,2025-11-21T20:37:46+00:00
58,58,Ignored confirmation and forced the trade.,impulsive,-0.45,rule_violation,0.68,2025-11-21T08:03:40+00:00
59,59,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.65,2025-12-06T10:43:40+00:00
60,60,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.71,2025-12-03T11:05:36+00:00
61,61,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.86,2025-12-03T05:34:19+00:00
62,62,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.87,2025-11-21T06:15:24+00:00
63,63,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.7,2025-11-30T00:50:02+00:00
64,64,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.67,2025-11-25T04:02:57+00:00
65,65,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.79,2025-12-07T21:34:02+00:00
66,66,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.74,2025-12-01T11:01:28+00:00
67,67,Followed my setup rules perfectly.,discipline,0.55,rule_based_execution,0.73,2025-12-01T03:39:17+00:00
68,68,Re-entered immediately after previous loss.,revenge_trading,-0.65,emotional_reentry,0.89,2025-11-25T04:28:09+00:00
69,69,Executed the planned setup with confidence.,discipline,0.55,planned_execution,0.96,2025-11-23T10:48:39+00:00
70,70,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.78,2025-11-27T01:43:15+00:00
71,71,Entered too early because price moved aggressively.,FOMO,-0.2,impulsive_entry,0.89,2025-11-22T20:49:08+00:00
72,72,Held too long because I wanted a bigger move.,greed,-0.25,poor_exit_discipline,0.73,2025-12-07T08:50:11+00:00
73,73,Closed early because I felt scared of giving back profit.,fear,-0.55,premature_exit,0.91,2025-12-09T17:54:48+00:00
